Field=Comment~String~Comment~136|Field=Description~String~Description~136|Field=Designator~String~Designator~136|Field=LibRef~String~LibRef~136|Field=Quantity~Integer~Quantity~79|Field=Value~String~Value~197|Field=Footprint~String~Footprint~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Cavro Ribbon Interface.PrjPcb|ReportField=ProjectFullPath~C:\Users\Adam\Documents\GitHub\CavroRibbonInterfaceBoard\PCB\Cavro Ribbon Interface.PrjPcb|ReportField=Title~Bill of Materials For Project [Cavro Ribbon Interface.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~49|ReportField=ReportTime~12:28:32 AM|ReportField=ReportDate~2/20/2014|ReportField=ReportDateTime~2/20/2014 12:28:32 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2/20/2014|ReportField=CurrentTime~12:28:30 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Adam\Documents\GitHub\CavroRibbonInterfaceBoard\PCB\Power.SchDoc|ReportField=DocumentName~Power.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2/19/2014|ReportField=Organization~|ReportField=ProjectName~Cavro Ribbon Interface.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Cavro Ribbon Interface.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Adam\Documents\GitHub\CavroRibbonInterfaceBoard\PCB\Cavro Ribbon Interface.PrjPcb
0603|Resistor|R5, R6|Res3|2|220r|J1-0603
0603|Capacitor (Semiconductor SIM Model)|C13, C16, C17, C18, C19, C20, C21, C22, C27, C28, C29|Cap Semi|11|100nF|1608[0603]
Res3|Resistor|R4|Res3|1|68K|SM 0805 - gap trimmed
VAS B|Polarized Capacitor (Radial)|C14, C15|Cap Pol1|2|47uF|Panasonic VS B
Res3|Resistor|R3|Res3|1|28K|SM 0805 - gap trimmed
1206 Tantulum|Capacitor (Semiconductor SIM Model)|C2, C3, C6, C8, C10, C11|Cap Semi|6|10uF|C1206
1206 Tantulum|Capacitor (Semiconductor SIM Model)|C4, C7, C12|Cap Semi|3|1uF|C1206
Res3|Resistor|R1, R2|Res3|2|1K|SM 0805 - gap trimmed
Ferrite|Inductor|FB3, FB4|Inductor|2||SM 0805 - gap trimmed
Header 16H|Header, 16-Pin, Right Angle|RIBBON|Header 16H|1||HDR1X16H
Header 2|Header, 2-Pin|T1, T2, T3, T4|Header 2|4||HDR1X2
Header 3X2|Header, 3-Pin, Dual row|END_STOP1, END_STOP2|Header 3X2|2||HDR2X3
Header 5X2|Header, 5-Pin, Dual row|MOTOR|Header 5X2|1||HDR2X5
LED2|Typical RED, GREEN, YELLOW, AMBER GaAs LED|D1, D3|LED2|2||SM 0805 polarized
LM7805-ST 800ma||U2|LM708-ST 800ma|1||DPAK-3
MAX31855EASA+|Cold Junction Compensated Thermocouple to Digital Converter, 14 Bits Temperature Resolution, -40 to 125 degC, 8-Pin SOIC (S8+4), Pb-Free|U4, U5, U6, U7|MAX31855EASA+|4||MAXM-S8+4_N
PMEG4050EP|Default Diode|D2|Diode|1||PMEG4050EP
TLV117113|Linear Regulator|U1|TLV117112|1||TLV117112
TPS73101|Ti TPS73101 Adjustable LDO|U3|TPS73101|1||TPS73101
TXB0108|Ti TXB0108 Bidirectional Level Translator|U9|TXB0108|1||TXB0108
